"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
"99"," MOVIMIENTO SOCIAL DEL NORTE","07.01.10","","","19.01.10","","","","09.04.10","","","03.06.10","","0 AÑOS, 4 MESES Y 25 DÍAS","0","4","25","4","7","1","2010","3","6","2010","2010/01/07","2010/06/03"
"100"," PARTIDO IGUALDAD","26.01.10","07.11.09","","30.11.09","","","","20.10.23","","","","14 AÑOS, 4 MESES Y 9 DÍAS","","14","4","9","172","26","1","2010","","","","2010/01/26",""
"101"," PARTIDO HUMANISTA Fusión del Partido Humanista","31.03.10","","","17.04.10","","","","31.05.10","","","20.08.16","","6 AÑOS, 4 MESES Y 15 DÍAS","6","4","15","76","31","3","2010","20","8","2016","2010/03/31","2016/08/20"
"102"," PARTIDO COMUNISTA DE CHILE","07.04.10","","","14.04.10","","","","28.05.10","","","","14 AÑOS, 1 MES Y 28 DÍAS","","14","1","28","169","7","4","2010","","","","2010/04/07",""
"103"," PARTIDO AIRE","12.04.10","25.05.10","","02.06.10","","27.01.11","","","","","27.01.11","","0 AÑOS, 9 MESES Y 15 DÍAS","0","9","15","9","12","4","2010","27","1","2011","2010/04/12","2011/01/27"
"104"," MOVIMIENTO AMPLIO SOCIAL Fusión del partido","16.04.10","","","21.04.10","","","","03.06.10","","","12.05.14","","4 AÑOS, 0 MESES Y 25 DÍAS","4","0","25","48","16","4","2010","12","5","2014","2010/04/16","2014/05/12"
"105"," PARTIDO PROGRESISTA","10.05.10","19.07.11","","15.04.11","","","","13.01.12","","","15.12.17","","7 AÑOS, 7 MESES Y 5 DÍAS","7","7","5","91","10","5","2010","15","12","2017","2010/05/10","2017/12/15"
"106"," ALIANZA INDEPENDIENTE","25.05.10","22.04.10","","17.06.10","","","","","","","26.05.14","","4 AÑOS, 0 MESES Y 1 DÍA","4","0","1","48","25","5","2010","26","5","2014","2010/05/25","2014/05/26"
"107"," FUERZA INDEPENDIENTE NACIONAL","08.11.10","01.10.10","","","","31.08.11","","","","","31.08.11","","0 AÑOS, 9 MESES Y 23 DÍAS","0","9","23","9","8","11","2010","31","8","2011","2010/11/08","2011/08/31"
"108"," WALLMAPUWEN","15.11.10","29.10.10","","18.11.10","","21.07.11","","","","","29.07.11","","0 AÑOS, 8 MESES Y 14 DÍAS","0","8","14","8","15","11","2010","29","7","2011","2010/11/15","2011/07/29"
"109"," ECOLOGISTA VERDE DEL NORTE ","13.06.11","23.07.11","","02.09.11","","17.02.14","","15.06.12","","","17.02.14","","2 AÑOS, 8 MESES Y 14 DÍAS","2","8","14","32","13","6","2011","17","2","2014","2011/06/13","2014/02/17"
"110"," FUERZA DEL NORTE","14.06.11","","","","","","","18.07.12","","","12.05.14","","2 AÑOS, 10 MESES Y 27 DÍAS","2","10","27","34","14","6","2011","12","5","2014","2011/06/14","2014/05/12"
"111"," PARTIDO ANTICORRUPCIÓN CHILE","02.08.11","","","","","27.12.18","","","","","27.12.18","","7 AÑOS, 4 MESES Y 25 DÍAS","7","4","25","88","2","8","2011","27","12","2018","2011/08/02","2018/12/27"
"112"," PARTIDO DE TRABAJADORES REVOLUCIONARIOS","11.11.11","","","08.06.17","","","","13.05.24","","","","12 AÑOS, 6 MESES Y 24 DÍAS","","12","6","24","150","11","11","2011","","","","2011/11/11",""
"113"," REVOLUCIÓN DEMOCRÁTICA (RD)","07.01.12","27.12.12","","","","","","22.06.16","","","","12 AÑOS, 4 MESES Y 28 DÍAS","","12","4","28","148","7","1","2012","","","","2012/01/07",""
"114"," IZQUIERDA CIUDADANA ","26.07.12","31.07.15","","22.04.15","","","","13.08.15","","","14.06.18","","5 AÑOS, 10 MESES Y 16 DÍAS","5","10","16","70","26","7","2012","14","6","2018","2012/07/26","2018/06/14"
"115"," PARTIDO CRISTIANO CIUDADANO ","27.09.12","","","","","18.01.18","","","","","18.01.18","","5 AÑOS, 3 MESES Y 20 DÍAS","5","3","20","63","27","9","2012","18","1","2018","2012/09/27","2018/01/18"
"116"," FUERZA SOLIDARIA","08.10.12","03.12.12","","","","18.11.13","","12.12.12","","","06.03.15","","2 AÑOS, 4 MESES Y 26 DÍAS","2","4","26","28","8","10","2012","6","3","2015","2012/10/08","2015/03/06"
"117"," EVOLUCIÓN POLÍTICA (EVÓPOLI)","12.12.12","15.01.16","","01.04.16","","","","13.04.16","","","","11 AÑOS, 5 MESES Y 22 DÍAS","","11","5","22","137","12","12","2012","","","","2012/12/12",""
"118"," PARTIDO LIBERAL DE CHILE","26.01.13","","","02.02.16","","","","13.11.18","","","","11 AÑOS, 4 MESES Y 9 DÍAS","","11","4","9","136","26","1","2013","","","","2013/01/26",""
"119"," IZQUIERDA UNIDA","06.02.13","06.04.13","","","","21.12.13","","24.04.13","","","30.12.13","","0 AÑOS, 10 MESES Y 24 DÍAS","0","10","24","10","6","2","2013","30","12","2013","2013/02/06","2013/12/30"
"120"," CHILE INDEPENDIENTE","08.04.13","20.08.13","","26.08.13","","21.04.14","","","","","28.04.14","","1 AÑO, 0 MESES Y 20 DÍAS","1","0","20","12","8","4","2013","28","4","2014","2013/04/08","2014/04/28"
"121"," IGUALDAD DEL SUR ","09.04.13","09.01.15","","24.01.15","","07.09.15","","","","","07.09.15","","2 AÑOS, 4 MESES Y 27 DÍAS","2","4","27","28","9","4","2013","7","9","2015","2013/04/09","2015/09/07"
"122"," POR UN CHILE MÁS JUSTO","21.05.13","","","","","06.04.17","","","","","06.04.17","","3 AÑOS, 10 MESES Y 13 DÍAS","3","10","13","46","21","5","2013","6","4","2017","2013/05/21","2017/04/06"
"123"," PARTIDO OBRERO SOCIALISTA","18.07.13","28.08.13","","07.09.13","","21.04.14","","","","","13.10.14","","1 AÑO, 2 MESES Y 23 DÍAS ","1","2","23","14","18","7","2013","13","10","2014","2013/07/18","2014/10/13"
"124"," CIUDADANOS ","07.10.13","26.07.16","","30.08.16","","27.04.17","","06.09.16","","","27.04.17","","3 AÑOS, 6 MESES Y 20 DÍAS","3","6","20","42","7","10","2013","27","4","2017","2013/10/07","2017/04/27"
"125"," PARTIDO COPIHUE ","06.12.13","08.01.14","","23.01.14","","06.10.14","","","","","06.10.14","","0 AÑOS, 10 MESES Y 0 DÍAS","0","10","0","10","6","12","2013","6","10","2014","2013/12/06","2014/10/06"
"126"," DEMOCRACIA REGIONAL PATAGÓNICA ","19.12.13","22.06.15","","14.03.14","","","","03.07.15","","","20.02.18","","4 AÑOS, 2 MESES Y 1 DÍA","4","2","1","50","19","12","2013","20","2","2018","2013/12/19","2018/02/20"
"127"," AMPLITUD ","07.01.14","19.01.16","","","","","","19.03.16","","","11.05.18","","4 AÑOS, 0 MESES Y 4 DÍAS","4","0","4","48","7","1","2014","11","5","2018","2014/01/07","2018/05/11"
"128"," MOVIMIENTO AMPLIO SOCIAL DEL SUR","11.02.14","27.02.14","","","","10.10.14","","","","","17.10.14","","0 AÑOS, 8 MESES Y 6 DÍAS","0","8","6","8","11","2","2014","17","10","2014","2014/02/11","2014/10/17"
"129"," MAS REGIÓN Fusión de Movimiento Amplio Social y Fuerza del Norte","12.05.14","","","","","","","16.06.14","","","14.06.18","","4 AÑOS, 1 MES Y 2 DÍAS","4","1","2","49","12","5","2014","14","6","2018","2014/05/12","2018/06/14"
"130"," ALIANZA DEMOCRÁTICA NACIONAL (ADN)","14.10.14","","","04.03.15","","06.10.15","","","","","21.10.15","","1 AÑO, 0 MESES Y 7 DÍAS","1","0","7","12","14","10","2014","21","10","2015","2014/10/14","2015/10/21"
"131"," PARTIDO ORDEN REPUBLICANO POR MI PATRIA ","28.10.14","30.06.15","","23.07.15","","14.11.16","","11.11.15","","","14.11.16","","2 AÑOS, 0 MESES Y 11 DÍAS","2","0","11","24","28","10","2014","14","11","2016","2014/10/28","2016/11/14"
"132"," PODER CIUDADANO (PODER)","20.03.15","10.08.15","","14.09.15","","","","08.04.16","","","20.01.19","","3 AÑOS, 10 MESES Y 0 DÍAS","3","10","0","46","20","3","2015","20","1","2019","2015/03/20","2019/01/20"
"133"," PARTIDO REGIONALISTA DE MAGALLANES ","02.05.15","28.01.16","","13.08.15","","","","05.04.16","","","27.04.17","","1 AÑO, 11 MESES Y 25 DÍAS","1","11","25","23","2","5","2015","27","4","2017","2015/05/02","2017/04/27"
"134"," ANDHA CHILE","07.05.15","","","","","12.09.16","","15.02.16","","","16.10.18","","3 AÑOS, 5 MESES Y 9 DÍAS","3","5","9","41","7","5","2015","16","10","2018","2015/05/07","2018/10/16"
"135"," MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL","12.06.15","07.07.15","","24.07.15","","","","19.10.15","","","14.12.15","","0 AÑOS, 6 MESES Y 2 DÍAS","0","6","2","6","12","6","2015","14","12","2015","2015/06/12","2015/12/14"
"136"," UNIDOS RESULTA EN DEMOCRACIA","14.09.15","","","23.10.15","","","","20.06.16","","","27.04.17","","1 AÑO, 7 MESES Y 13 DÍAS","1","7","13","19","14","9","2015","27","4","2017","2015/09/14","2017/04/27"
"137"," UNIÓN PATRIÓTICA","14.09.15","16.09.15","","24.05.16","","03.02.22","","24.05.16","","","03.02.22","","6 AÑOS, 4 MESES Y 18 DÍAS","6","4","18","76","14","9","2015","3","2","2022","2015/09/14","2022/02/03"
"138"," TODOS","14.10.15","19.08.15","","11.11.15","","","","06.06.16","","","08.05.18","","2 AÑOS, 6 MESES Y 22 DÍAS","2","6","22","30","14","10","2015","8","5","2018","2015/10/14","2018/05/08"
"139"," SOMOS AYSÉN","23.10.15","","","","","","","22.06.16","","","25.04.17","","1 AÑO, 6 MESES Y 2 DÍAS","1","6","2","18","23","10","2015","25","4","2017","2015/10/23","2017/04/25"
"140"," FRENTE REGIONAL Y POPULAR","24.11.15","","","","","","","20.06.16","","","25.04.17","","1 AÑO, 5 MESES Y 1 DÍA","1","5","1","17","24","11","2015","25","4","2017","2015/11/24","2017/04/25"
"141"," PARTIDO VIENTOSUR","13.01.16","25.01.16","","15.02.16","","28.09.16","","18.02.16","","","28.09.16","","8 AÑOS, 8 MESES Y 15 DÍAS","8","8","15","104","13","1","2016","28","9","2016","2016/01/13","2016/09/28"
"142"," POR LA INTEGRACIÓN REGIONAL","13.01.16","02.06.16","","","","","","27.09.16","","","11.05.18","","2 AÑOS, 3 MESES Y 27 DÍAS","2","3","27","27","13","1","2016","11","5","2018","2016/01/13","2018/05/11"
"143"," PARTIDO MOVIMIENTO DE IZQUIERDA REVOLUCIONARIA ","18.01.16","28.01.16","","10.02.16","","12.09.16","","","","","12.09.16","","0 AÑOS, 7 MESES Y 23 DÍAS","0","7","23","7","18","1","2016","12","9","2016","2016/01/18","2016/09/12"
"144"," PARTIDO CONSTITUYENTE DE CHILE","26.01.16","06.04.16","","18.04.16","","24.11.16","","","","","24.11.16","","0 AÑOS, 9 MESES Y 27 DÍAS","0","9","27","9","26","1","2016","24","11","2016","2016/01/26","2016/11/24"
"145"," NUEVO TIEMPO","21.03.16","","","","","03.02.22","","10.07.19","","","03.02.22","","5 AÑOS, 10 MESES Y 9 DÍAS","5","10","9","70","21","3","2016","3","2","2022","2016/03/21","2022/02/03"
"146"," PAÍS ","03.09.16","22.05.17","","09.09.16","","","","27.07.17","","","15.12.17","","1 AÑO, 3 MESES Y 12 DÍAS","1","3","12","15","3","9","2016","15","12","2017","2016/09/03","2017/12/15"
"147"," PARTIDO AUTÓNOMO REGIONALISTA RAÍCES","07.09.16","07.11.16","","","","08.02.17","","","","","08.02.17","","0 AÑOS, 5 MESES Y 1 DÍA","0","5","1","5","7","9","2016","8","2","2017","2016/09/07","2017/02/08"
"148"," CONVERGENCIA NACIONAL DE CHILE","20.01.17","24.09.19","","","","18.02.20","","","","","11.10.20","","3 AÑOS, 8 MESES Y 20 DÍAS","3","8","20","44","20","1","2017","11","10","2020","2017/01/20","2020/10/11"
"149"," FEDERACIÓN REGIONALISTA VERDE SOCIAL","24.01.17","13.04.17","","","","","","25.04.17","","","","7 AÑOS, 4 MESES Y 11 DÍAS","","7","4","11","88","24","1","2017","","","","2017/01/24",""
"150"," UNIDAD SOCIAL POR LA ASAMBLEA CONSTITUYENTE","09.03.17","","","","","18.05.18","","","","","18.05.18","","1 AÑO, 2 MESES Y 9 DÍAS","1","2","9","14","9","3","2017","18","5","2018","2017/03/09","2018/05/18"
"151"," UNIDAD CRISTIANA NACIONAL ","25.03.17","","","","","27.03.20","","","","","27.03.20","","3 AÑOS, 0 MESES Y 2 DÍAS","3","0","2","36","25","3","2017","27","3","2020","2017/03/25","2020/03/27"
"152"," Movimiento por la Tierra, el Trabajo y la Libertad","27.03.17","08.04.17","","","","","","","","","","","","","","","0","27","3","2017","27","3","2017","2017/03/27","2017/03/27"
"153"," Partido Conciencia TEA y Discapacidad ","30.03.17","08.04.17","","","","","","","","","","","","","","","0","30","3","2017","30","3","2017","2017/03/30","2017/03/30"
"154"," PATRIOTAS POR CHILE","30.04.17","","","25.04.18","","03.08.21","","","","","03.08.21","","4 AÑOS, 3 MESES Y 2 DÍAS","4","3","2","51","30","4","2017","3","8","2021","2017/04/30","2021/08/03"
"155"," PAÍS PROGRESISTA Fusión de País y Progresista ","15.12.17","11.01.18","","23.02.18","","","","08.05.18","","","03.02.22","","4 AÑOS, 1 MES Y 16 DÍAS","4","1","16","49","15","12","2017","3","2","2022","2017/12/15","2022/02/03"
"156"," CIUDADANOS  Fusión de Ciudadanos y Todos","21.12.17","19.02.18","","","","27.04.17","","08.05.18","","","03.02.22","","4 AÑOS, 1 MES Y 10 DÍAS","4","1","10","49","21","12","2017","3","2","2022","2017/12/21","2022/02/03"
"157"," PARTIDO REGIONALISTA INDEPENDIENTE DEMÓCRATA Fusión de Partido Regionalista Independiente y Democracia Regional Patagónica ","27.12.17","","","20.02.18","","03.02.22","","","","","03.02.22","","4 AÑOS, 2 MESES Y 19 DÍAS","4","2","19","50","27","12","2017","3","2","2022","2017/12/27","2022/02/03"
"158"," IZQUIERDA ANTICAPITALISTA DE LOS TRABAJADORES","24.01.18","","","","","","","13.04.18","","","28.10.20","","2 AÑOS, 9 MESES Y 4 DÍAS","2","9","4","33","24","1","2018","28","10","2020","2018/01/24","2020/10/28"
"159"," PARTIDO LIBERTARIO DE CHILE","29.04.18","15.06.20","","20.08.20","","25.03.21","","","","","25.03.21","","2 AÑOS, 10 MESES Y 25 DÍAS","2","10","25","34","29","4","2018","25","3","2021","2018/04/29","2021/03/25"
"160"," MAS IZQUIERDA CIUDADANA Fusión de Mas Región e Izquierda Ciudadana","14.06.18","11.05.18","","","","","","13.08.18","","","19.03.19","","0 AÑOS, 9 MESES Y 5 DÍAS","0","9","5","9","14","6","2018","19","3","2019","2018/06/14","2019/03/19"
"161"," CONVERGENCIA SOCIAL (CS)","11.11.18","17.01.20","","04.03.20","","","","09.03.20","","","","5 AÑOS, 6 MESES Y 24 DÍAS","","5","6","24","66","11","11","2018","","","","2018/11/11",""
"162"," COMUNES","20.01.19","","","","","","","08.05.18","","","","5 AÑOS, 4 MESES Y 15 DÍAS","","5","4","15","64","20","1","2019","","","","2019/01/20",""
"163"," PARTIDO CHILE FEMINISTA","11.03.19","","","","","25.11.19","","","","","25.11.19","","0 AÑOS, 8 MESES Y 24 DÍAS","0","8","24","8","11","3","2019","25","11","2019","2019/03/11","2019/11/25"
"164"," LIBRES CHILE","25.03.19","","","","","20.06.23","","","","","20.06.23","","4 AÑOS, 2 MESES Y  21 DÍAS","4","2","21","50","25","3","2019","20","6","2023","2019/03/25","2023/06/20"
"165","  PARTIDO NACIONAL CIUDADANO ","17.05.19","","","","","03.02.22","","13.04.20","","","03.02.22","","2 AÑOS, 8 MESES Y 14 DÍAS","2","8","14","32","17","5","2019","3","2","2022","2019/05/17","2022/02/03"
"166"," PARTIDO REPUBLICANO DE CHILE (PLR)","10.06.19","21.11.19","","21.01.20","","","","23.01.20","","","","4 AÑOS, 11 MESES Y 25 DÍAS","","4","11","25","59","10","6","2019","","","","2019/06/10",""
"167"," FUERZA NACIONAL ","17.06.19","11.07.19","","","","13.02.20","","","","","03.12.21","","2 AÑOS, 5 MESES Y 15 DÍAS","2","5","15","29","17","6","2019","3","12","2021","2019/06/17","2021/12/03"
"168"," PARTIDO DE TRABAJADORES UNIDOS (PTU)","20.06.19","","","","","26.03.20","","","","","26.03.20","","0 AÑOS, 9 MESES Y 6 DÍAS","0","9","6","9","20","6","2019","26","3","2020","2019/06/20","2020/03/26"
"169"," NUEVA CLASE MEDIA","20.07.19","13.04.20","","","","","","16.04.20","","","22.10.20","","1 AÑO, 3 MESES Y 2 DÍAS","1","3","2","15","20","7","2019","22","10","2020","2019/07/20","2020/10/22"
"170"," UNIDOS EN LA FE","10.09.19","17.02.20","","","","","","","","","11.10.20","","1 AÑO, 1 MES Y 1 DÍA","1","1","1","13","10","9","2019","11","10","2020","2019/09/10","2020/10/11"
"171"," PARTIDO ALTERNATIVA FEMINISTA","18.10.19","28.01.20","","","","","","14.02.20","","","15.01.21","","1 AÑO, 2 MESES Y 25 DÍAS","1","2","25","14","18","10","2019","15","1","2021","2019/10/18","2021/01/15"
"172"," DEMÓCRATA","23.11.19","29.05.20","","11.08.20","","15.03.21","","","","","15.03.21","","1 AÑO, 3 MESES Y 21 DÍAS","1","3","21","15","23","11","2019","15","3","2021","2019/11/23","2021/03/15"
"173"," FUERZA CULTURAL","28.11.19","16.09.20","","04.11.20","","","","","","","","","","","","","0","28","11","2019","28","11","2019","2019/11/28","2019/11/28"
"174"," MOVIMIENTO INDEPENDIENTES DEL NORTE","11.12.19","30.01.20","","04.03.20","","27.10.20","","","","","27.10.20","","0 AÑOS, 10 MESES Y 16 DÍAS","0","10","16","10","11","12","2019","27","10","2020","2019/12/11","2020/10/27"
"175"," PARTIDO DE LA GENTE (PDG)","13.12.19","28.05.21","","","","","","26.07.21","","","","4 AÑOS, 5 MESES Y 21 DÍAS","","4","5","21","53","13","12","2019","","","","2019/12/13",""
"176"," PARTIDO MOVIMIENTO DE TRABAJADORES Y LA ECOLOGÍA","06.01.20","","","","","20.04.20","","","","","20.04.20","","0 AÑOS, 3 MESES Y 14 DÍAS","0","3","14","3","6","1","2020","20","4","2020","2020/01/06","2020/04/20"
"177"," PARTIDO CONSERVADOR CRISTIANO ","15.01.20","13.03.20","","26.03.20","","03.02.22","","20.10.20","","","03.02.22","","2 AÑOS, 0 MESES Y 17 DÍAS","2","0","17","24","15","1","2020","3","2","2022","2020/01/15","2022/02/03"
"178"," PARTIDO POR LA DIGNIDAD","20.01.20","","","","","05.10.20","","","","","05.10.20","","0 AÑOS, 8 MESES Y 14 DÍAS","0","8","14","8","20","1","2020","5","10","2020","2020/01/20","2020/10/05"
"179"," PARTIDO CON TODOS","30.01.20","18.02.20","","28.02.20","","01.10.20","","","","","01.10.20","","0 AÑOS, 8 MESES Y 0 DÍAS","0","8","0","8","30","1","2020","1","10","2020","2020/01/30","2020/10/01"
"180"," FUERZA COMÚN ","13.02.20","25.02.20","","28.02.20","","01.10.20","","","","","24.09.22","","2 AÑOS, 7 MESES Y 11 DÍAS","2","7","11","31","13","2","2020","24","9","2022","2020/02/13","2022/09/24"
"181"," PARTIDO POR LA REPRESENTACIÓN CIUDADANA","04.04.20","","","","","","","","","","","","","","","","0","4","4","2020","4","4","2020","2020/04/04","2020/04/04"
"182"," PARTIDO ACCIÓN HUMANISTA (AH)","30.07.20","22.03.22","","30.09.22","","","","09.12.22","","","","3 AÑOS, 10 MESES Y 4 DÍAS","","3","10","4","46","30","7","2020","","","","2020/07/30",""
"183"," POR EL BUEN VIVIR DE CHILE","06.08.20","","","10.09.20","","","","","","","","","","3","9","4","45","6","8","2020","","","","2020/08/06",""
"184"," PARTIDO NACIONAL INDEPENDIENTE DE CHILE (PNI)","23.08.20","10.10.20","","","","","","","","","","","","3","8","25","44","23","8","2020","23","","","",""
"185"," CENTRO UNIDO","28.11.20","23.02.21","","17.06.21","","03.02.22","","11.08.21","","","03.02.22","","1 AÑO, 2 MESES Y 4 DÍAS","1","2","4","14","28","11","2020","3","2","2022","2020/11/28","2022/02/03"
"186"," PARTIDO FUERZA POPULAR DE CHILE","14.02.22","","","","","11.01.23","","","","","11.01.23","","0 AÑOS, 10 MESES Y 26 DÍAS","0","10","26","10","14","2","2022","11","1","2023","2022/02/14","2023/01/11"
"187"," MOVIMIENTO AMARILLOS POR CHILE","18.02.22","","","29.06.23","","","","30.06.23","","","","2 AÑOS, 3 MESES Y 17 DÍAS","","2","3","17","27","18","2","2022","","","","2022/02/18",""
"188"," PARTIDO FUERZA DE LA MUCHEDUMBRE","02.05.22","27.10.22","","","","20.06.23","","","","","20.06.23","","1 AÑO, 1 MES Y 18 DÍAS","1","1","18","13","2","5","2022","20","6","2023","2022/05/02","2023/06/20"
"189"," TRANSFORMAR CHILE","10.06.22","11.10.23","","","","","","","","","","","","","","","0","10","6","2022","","","","2022/06/10",""
"190"," PARTIDO FUERZA DE CENTRO","28.07.22","","","","","","","","","","","","","","","","0","28","7","2022","","","","2022/07/28",""
"191"," PARTIDO SOCIAL CRISTIANO","21.09.22","08.11.22","","09.02.23","","","","11.05.23","","","","1 AÑO, 8 MESES Y 14 DÍAS","","1","8","14","20","21","9","2022","","","","2022/09/21",""
"192"," SENTIDO COMÚN","01.10.22","","","","","","","12.10.23","","","17.05.24","","1 AÑO, 7 MESES Y 16 DÍAS","1","7","16","19","1","10","2022","17","5","2024","2022/10/01","2024/05/17"
"193"," PARTIDO VANGUARDIA PATRIOTA (PVP)","11.10.22","14.11.22","","","","","","","","","","","","","","","0","11","10","2022","","","2000","2022/10/11","1999/11/30"
"194"," PATRIA PROGRESISTA ","21.10.22","","","29.08.23","","","","31.08.23","","","12.04.24","1 AÑO, 7 MESES Y 13 DÍAS","1 AÑO, 5 MESES YY 19 DÍAS","1","5","19","17","21","10","2022","12","4","2024","2022/10/21","2024/04/12"
"195"," PARTIDO DEMÓCRATAS CHILE (D)","02.11.22","04.11.22","","21.11.22","","","","28.07.23","","","","1 AÑO, 7 MESES Y 4 DÍAS","","1","7","4","19","2","11","2022","","","","2022/11/02",""
"196","  PARTIDO ALIANZA VERDE POPULAR ","07.11.22","","","29.08.23","","","","31.08.23","","","","1 AÑO, 6 MESES Y 28 DÍAS","","1","6","28","18","7","11","2022","","","","2022/11/07",""
"197"," PARTIDO POPULAR ","19.12.22","","","29.09.23","","","","03.10.23","","","","1 AÑO, 5 MESES Y 15 DÍAS","","1","5","15","17","19","12","2022","","","","2022/12/19",""
"198"," MEJOR REGIÓN ","06.01.23","","","","","13.11.23","","","","","13.11.23","","0 AÑOS, 10 MESES Y 7 DÍAS","0","10","7","10","6","1","2023","13","11","2023","2023/01/06","2023/11/13"
"199"," AVANCEMOS CHILE ","24.02.23","","","","","11.04.24","","","","","18.04.24","","1 AÑO, 1 MES Y 23 DÍAS","1","1","23","13","24","2","2023","18","4","2024","2023/02/24","2024/04/18"
"200"," FRENTE AMPLIO","05.10.23","08.04.24","","","","","","","","","","","","","","","0","5","10","2023","","","","2023/10/05",""
"201"," UNIDOS","08.10.23","","","","","04.04.24","","","","","04.04.24","","0 AÑOS, 5 MESES Y 24 DÍAS","0","5","24","5","8","10","2023","4","4","2024","2023/10/08","2024/04/04"
"202"," MOVIMIENTO VERDE CIUDADANO (MOVER)","16.11.23","","","","","","","","","","","","","","","","0","16","11","2023","","","","2023/11/16",""
"203"," PARTIDO VERDE","12.12.23","","","","","","","","","","","","","","","","0","12","12","2023","","","","2023/12/12",""
"204"," PARTIDO SOLIDARIDAD PARA CHILE (PSOL)","20.12.23","22.12.23","","13.02.24","","","","","","","","","","","","","0","20","12","2023","","","","2023/12/20",""
